molecule	log2FC	p	p_FDR	Regulation
1	0.8501473619298572	0.4251887194572232		Not significant
2	-37.77814407181081	0.11735586294698562		Not significant
3	2.389788195162242	0.001693428378029306		Up
4	1.0340518074452947	0.36718713542974163		Not significant
5	-8.250482810175622	0.08000812584371343		Not significant
6	2.1222017172391987	0.00014626252602514196		Up
7	0.0			Not significant
8	2.3405882012838406	0.0023946683722999413		Up
9	0.0			Not significant
10	0.0			Not significant
11	42.40870549969007	0.1205795001009523		Not significant
12	0.0			Not significant
13	1.4719641181297858	0.2212863775418207		Not significant
14	-5.6266613700455075	0.002500740032947812		Down
15	-6.1350771377739	1.0518409672741756e-05		Down
16	1.0604775076216877	0.3174764746826782		Not significant
17	-2.4762762923979755	0.176164839947844		Not significant
18	0.5341942789588232	0.4993076518284163		Not significant
19	0.06705324306793238	0.9015150349371214		Not significant
20	-32.19076758202445	0.373900966300059		Not significant
21	0.6167790654372747	0.3880051811461767		Not significant
22	2.955525210028469	0.17269251328305615		Not significant
23	37.592003913337784	0.11612540213407282		Not significant
24	0.0			Not significant
25	1.2003953077163294	0.03677165055064521		Up
26	-40.42505791034419	0.3739009663000589		Not significant
27	0.0			Not significant
28	0.0			Not significant
29	0.4829152479376096	0.585984507815311		Not significant
30	2.35268386756668	0.001083334125325566		Up
31	2.0652180353522125	0.0006692084265078849		Up
32	1.2514440962145048	0.03840671901100792		Up
33	-44.08523823498686	0.1194324114705342		Not significant
34	-2.3675943387833915	0.1786242804898768		Not significant
35	2.2540388397202094	0.015262813265647514		Up
36	0.0			Not significant
37	2.5264745193825497	0.07189012576801343		Not significant
38	3.319816973234077	0.13172142039324078		Not significant
39	0.0			Not significant
40	0.0			Not significant
41	0.8799245917891741	0.040827334708155354		Up
42	-39.374873882473565	0.013851970245154747		Down
43	0.0			Not significant
44	1.485163859381908	0.036577929261710405		Up
45	-3.346615987299269	0.12710705997269037		Not significant
46	-1.2912095413696387	0.052224247351462076		Not significant
47	-1.004391284453972	0.13730517402665834		Not significant
48	-1.5597973260262832	0.2337819649085909		Not significant
49	-1.6336761331513137	0.005338966129755277		Down
50	4.23077449528072	0.1406575205463951		Not significant
51	0.6448838764461893	0.31119526458180724		Not significant
52	0.9086025772350774	0.4811564184790236		Not significant
53	0.0			Not significant
54	-39.94821796373944	0.11611654847234947		Not significant
55	1.6206678452116732	0.06627280038816845		Not significant
56	0.0			Not significant
57	0.0			Not significant
58	0.0			Not significant
59	-39.84728999695349	0.05625052397673152		Not significant
60	0.0			Not significant
61	2.0338375641079227	0.042275166868493766		Up
62	-39.873878075424166	0.05250493838645034		Not significant
63	-38.59388553623995	0.028340978641207028		Down
64	0.0			Not significant
65	3.8734680103761683	0.1428034989694058		Not significant
66	-0.011864235110097793	0.9875308907800807		Not significant
67	0.0			Not significant
68	0.0			Not significant
69	1.0430082455823113	0.2886377097718898		Not significant
70	-0.08227214908045534	0.9352236723856688		Not significant
71	0.0			Not significant
72	0.0			Not significant
73	0.3803619987020579	0.5264967000299917		Not significant
74	0.0			Not significant
75	2.2171953149137904	0.0032408870368546734		Up
76	0.0			Not significant
77	1.8877751229400057	0.0028101057073487146		Up
78	0.8786612768340228	0.19245435794912322		Not significant
79	0.36843809750356293	0.5708047287497933		Not significant
80	-37.3618685997713	0.12546261231008865		Not significant
81	0.9972756651950626	0.32887246895612327		Not significant
82	-0.1199727511673203	0.880302718100896		Not significant
83	4.595093953608102	0.10787349645548101		Not significant
84	-40.22197490425859	0.020850921449355807		Down
85	0.0			Not significant
86	-9.125342243899565	0.005224696136735754		Down
87	0.0			Not significant
88	0.0			Not significant
89	-40.127043966876016	0.014098080969021985		Down
90	0.0			Not significant
91	0.0			Not significant
92	0.0			Not significant
93	-43.35129361442166	0.008132348028398968		Down
94	-0.9749314116837572	0.18385462194854804		Not significant
95	0.0			Not significant
96	0.0			Not significant
97	0.0			Not significant
98	0.0			Not significant
99	0.0			Not significant
100	0.0			Not significant
101	0.9525569267272777	0.1380737344012318		Not significant
102	-4.2403142976765595	0.16887892382697794		Not significant
103	0.0			Not significant
104	2.0671271604130466	0.15665552356757217		Not significant
105	0.21306024581514413	0.9057746395189201		Not significant
106	0.0			Not significant
107	38.4663406016647	0.1362658136018361		Not significant
108	0.0			Not significant
109	-1.0000693244620735	0.0758194466119993		Not significant
110	-2.266644225701451	0.19276823133493795		Not significant
111	0.8915199643166533	0.21559828973152761		Not significant
112	-4.674075012946998	0.06879142508269785		Not significant
113	0.0			Not significant
114	5.517667381524165	0.15844785512016385		Not significant
115	4.632416167773859	0.04656922144529354		Up
116	-2.1827884170265213	0.19962678600829067		Not significant
117	0.0			Not significant
118	1.4657158838769744	0.04887463451511407		Up
119	1.8519828885119012	0.02108965868947003		Up
120	0.0			Not significant
121	-39.97583460282772	0.373900966300059		Not significant
122	0.2971048375500308	0.5447917186703981		Not significant
123	0.6396175158087947	0.2734325811176993		Not significant
124	1.060230895271321	0.4249517168881348		Not significant
125	35.0264070368116	0.3739009663000589		Not significant
126	-1.928832979852151	0.18189693458381842		Not significant
127	0.0			Not significant
128	1.7243723112828306	0.0864126206851647		Not significant
129	0.0			Not significant
130	0.0			Not significant
131	0.0			Not significant
132	1.6291276468916205	0.017482810953812017		Up
133	0.0			Not significant
134	2.376124351604728	0.12751948095418073		Not significant
135	1.520570964842439	0.026760244292164132		Up
136	6.3905770445196	0.15000667189992056		Not significant
137	-0.5503626288733638	0.5608851475116884		Not significant
138	-39.53421228001891	0.07324800334237905		Not significant
139	-40.19208115392947	0.08635661838163755		Not significant
140	-38.73437725176552	0.12521732974177455		Not significant
141	2.048818187549187	0.0018162468347721209		Up
142	0.0			Not significant
143	-2.901595464843311	0.16346774662375405		Not significant
144	0.0			Not significant
145	0.0			Not significant
146	6.326919318981418	0.1489830304214552		Not significant
147	3.590623330616139	0.18857366789819077		Not significant
148	0.0			Not significant
149	0.0			Not significant
150	37.75587051752248	0.26224890528974665		Not significant
151	-2.9487413233651787	0.10948903938677092		Not significant
152	3.577319545727159	0.3174386679694198		Not significant
153	1.7094135309415959	0.17887406498865996		Not significant
154	0.008272867383758646	0.9904085606084551		Not significant
155	0.028407788624409114	0.9661287983375282		Not significant
156	0.0			Not significant
