molecule	log2FC	p	p_FDR	Regulation
1	-44.2288794303321	4.657967356282217e-06		Down
2	0.2752656595974415	0.698178486367806		Not significant
3	-43.201028021329286	0.11627278524383808		Not significant
4	-45.26992003056096	2.9445673853156753e-05		Down
5	-10.144825524885364	0.07951205078483084		Not significant
6	-39.774681707040564	0.0002953726343580132		Down
7	39.08354387010762	0.3739009663000589		Not significant
8	1.1934819406934227	0.048927910338995066		Up
9	41.526984583015405	0.373900966300059		Not significant
10	40.55146752673455	0.3739009663000589		Not significant
11	0.0			Not significant
12	34.76843619378369	0.1542553491025405		Not significant
13	-40.062805085856894	0.1609797081054382		Not significant
14	-42.188961927441476	0.002301056885972944		Down
15	-41.384992326533194	9.1658448417376e-06		Down
16	-40.55720875005662	0.11434010962506028		Not significant
17	-42.064038093443585	0.11175443134466063		Not significant
18	-41.21248189487376	0.09310401428281082		Not significant
19	3.4048122985370597	0.021268711761205872		Up
20	6.514229959846635	0.01818689551603949		Up
21	-41.78666779574121	0.08892215262387199		Not significant
22	-37.12271095651886	0.373900966300059		Not significant
23	0.0			Not significant
24	39.95090774916826	0.07125307508425013		Not significant
25	-41.339500160499135	0.018328779551782817		Down
26	-40.42505791034419	0.3739009663000589		Not significant
27	0.0			Not significant
28	0.0			Not significant
29	-40.80001567478193	0.12728554113057303		Not significant
30	-0.5781887105408221	0.14834840374403221		Not significant
31	-1.3299435313487078	0.001361947722162703		Down
32	-41.21138362966828	0.05465110346597393		Not significant
33	-44.08523823498686	0.1194324114705342		Not significant
34	-40.10808789977355	0.10830067606765408		Not significant
35	-39.62092912822809	0.00048731358999258383		Down
36	37.60572818737636	0.373900966300059		Not significant
37	4.61268150034642	0.008439504684989661		Up
38	-36.39361614710918	0.07852553873441714		Not significant
39	39.54700962469347	0.14718662664226323		Not significant
40	39.778751041953186	0.3739009663000589		Not significant
41	-38.64159235135559	0.0055279966913055565		Down
42	-39.374873882473565	0.013851970245154747		Down
43	36.89945133877036	0.1541373213796843		Not significant
44	-39.5245497541242	0.03907278592529699		Down
45	-39.306975076618535	0.097887096597251		Not significant
46	-40.74922731906526	0.00269897347477719		Down
47	-41.04187349045557	0.0066460403792773185		Down
48	-40.014149923603064	0.0550159808470773		Not significant
49	-7.856651157986799	1.2263974744323098e-08		Down
50	-35.782982969626744	0.16077522740736955		Not significant
51	-39.11115068072499	0.06671262015971093		Not significant
52	-41.01584932996438	0.22033600169670095		Not significant
53	36.866584213119836	0.373900966300059		Not significant
54	-39.94821796373944	0.11611654847234947		Not significant
55	-39.749039981015436	0.0051595281137812405		Down
56	0.0			Not significant
57	0.0			Not significant
58	39.92914207899922	0.373900966300059		Not significant
59	-39.84728999695349	0.05625052397673152		Not significant
60	36.661843080638725	0.373900966300059		Not significant
61	-37.62918539305366	0.021761185150831898		Down
