molecule	log2FC	p	p_FDR	Regulation
1	-45.079026792261956	0.11703113974808968		Not significant
2	38.05340973140825	1.0673709440748963e-05		Up
3	-45.590816216491525	3.79767385118703e-05		Down
4	-46.303971838006255	0.11781359648974829		Not significant
5	-1.8943427147097427	0.5191872374767258		Not significant
6	-41.896883424279764	3.9853474224487776e-05		Down
7	39.08354387010762	0.3739009663000589		Not significant
8	-1.1471062605904179	0.011992750938023017		Down
9	41.526984583015405	0.373900966300059		Not significant
10	40.55146752673455	0.3739009663000589		Not significant
11	-42.40870549969007	0.1205795001009523		Not significant
12	34.76843619378369	0.1542553491025405		Not significant
13	-41.534769203986684	0.06181860185852971		Not significant
14	-36.562300557395965	0.0818855647515876		Not significant
15	-35.249915188759296	0.11775164127358073		Not significant
16	-41.6176862576783	0.06194961442747082		Not significant
17	-39.58776180104561	0.11654902837564884		Not significant
18	-41.74667617383258	0.021759435224455954		Down
19	3.337759055469127	0.02113916878304509		Up
20	38.70499754187109	0.01748724743680662		Up
21	-42.40344686117849	0.008946152323066423		Down
22	-40.07823616654733	0.12111332507309669		Not significant
23	-37.592003913337784	0.11612540213407282		Not significant
24	39.95090774916826	0.07125307508425013		Not significant
25	-42.53989546821546	0.002261117022216996		Down
26	0.0			Not significant
27	0.0			Not significant
28	0.0			Not significant
29	-41.282930922719544	0.03021251291281871		Down
30	-2.9308725781075027	0.0009645967096492295		Down
31	-3.3951615667009207	0.00037155067733948393		Down
32	-42.46282772588279	0.000801723251242547		Down
33	0.0			Not significant
34	-37.74049356099016	0.11847353387440539		Not significant
35	-41.8749679679483	0.006635753575518569		Down
36	37.60572818737636	0.373900966300059		Not significant
37	2.08620698096387	0.023231774126924325		Up
38	-39.713433120343254	0.10260350924624216		Not significant
39	39.54700962469347	0.14718662664226323		Not significant
40	39.778751041953186	0.3739009663000589		Not significant
41	-39.52151694314476	0.0010086144510448405		Down
42	0.0			Not significant
43	36.89945133877036	0.1541373213796843		Not significant
44	-41.009713613506115	0.0042825035924323835		Down
45	-35.96035908931926	0.20118438180816683		Not significant
46	-39.45801777769562	0.05764473138112526		Not significant
47	-40.037482206001606	0.05781370492774693		Not significant
48	-38.45435259757678	0.30576427969409037		Not significant
49	-6.222975024835486	0.06120999001385199		Not significant
50	-40.013757464907464	0.12435896996877482		Not significant
51	-39.75603455717118	0.004866433222446675		Down
52	-41.92445190719946	0.10434804630507964		Not significant
53	36.866584213119836	0.373900966300059		Not significant
54	0.0			Not significant
55	-41.36970782622711	0.01900029117307223		Down
56	0.0			Not significant
57	0.0			Not significant
58	39.92914207899922	0.373900966300059		Not significant
59	0.0			Not significant
60	36.661843080638725	0.373900966300059		Not significant
61	-39.66302295716158	0.015698350710176855		Down
62	0.0			Not significant
63	0.0			Not significant
64	36.97330574650098	0.3739009663000589		Not significant
65	-39.17499365755266	0.12146788547108725		Not significant
66	-39.19133402458756	0.0029646617700992677		Down
67	0.0			Not significant
68	0.0			Not significant
69	-41.45321246755433	0.04988152181710963		Down
70	-7.324091914103944	0.07992376539951848		Not significant
71	36.643385457394736	0.373900966300059		Not significant
72	36.81339565334661	0.24309258419480106		Not significant
73	-44.0117933851251	0.003137883156627202		Down
74	0.0			Not significant
75	-2.7612575808731363	0.0028725559018117704		Down
76	0.0			Not significant
77	-2.9387779043936986	0.001972304957941721		Down
78	-3.453268505416632	0.02112906653045293		Down
79	-8.157803055232904	0.0036388190338542624		Down
80	37.27460576066809	0.373900966300059		Not significant
81	-5.210166558086781	0.06580440066635046		Not significant
82	-36.57930621548322	0.0055588457428753756		Down
83	-41.05199072739179	0.09739412314605678		Not significant
84	0.0			Not significant
85	38.0237889451102	0.22391738680732784		Not significant
86	-34.56359323985016	0.373900966300059		Not significant
87	0.0			Not significant
88	0.0			Not significant
89	0.0			Not significant
90	0.0			Not significant
91	0.0			Not significant
92	0.0			Not significant
93	0.0			Not significant
94	-41.42607416906303	0.004100048250680144		Down
95	0.0			Not significant
96	0.0			Not significant
97	38.34783281509483	0.3739009663000589		Not significant
98	0.0			Not significant
99	0.0			Not significant
100	36.98594349134325	0.373900966300059		Not significant
101	-7.246945382922596	0.009252659641246032		Down
102	-5.512329330638094	0.0030274123759427276		Down
103	36.28050219248923	0.3739009663000589		Not significant
104	-38.87102155582183	0.07574675994033303		Not significant
105	-39.82012900867724	0.373900966300059		Not significant
106	39.13148593018108	0.3739009663000589		Not significant
107	-38.4663406016647	0.1362658136018361		Not significant
108	35.571371258396844	0.373900966300059		Not significant
109	-40.888010942424344	0.005902186790747357		Down
110	-38.35477131059512	0.12346939231987318		Not significant
111	-2.4435053054139435	0.05207461200145703		Not significant
112	-33.58649394326215	0.373900966300059		Not significant
113	36.274461386947806	0.373900966300059		Not significant
114	-40.30590746827271	0.15139494226694256		Not significant
115	-1.1716997546853118	0.2798902839327656		Not significant
116	-37.347883265405436	0.04461999383520953		Down
117	36.15003796373556	0.3739009663000589		Not significant
118	-39.132025117006975	0.008659152587550196		Down
119	-3.7347270647978075	0.007307490701145282		Down
120	37.347043801233674	0.373900966300059		Not significant
121	39.76729271748006	0.373900966300059		Not significant
122	1.7307415087642117	0.2485605282111248		Not significant
123	-38.035954341220375	0.004348076888109337		Down
124	-40.08801325309445	0.1310392091224547		Not significant
125	1.544414964534207	0.4461575170047669		Not significant
126	-35.97443552084125	0.12655940473376334		Not significant
127	36.66262927117502	0.29786272113616424		Not significant
128	-3.723998370844287	0.030077065909814543		Down
129	37.254120839958645	0.373900966300059		Not significant
130	36.35430188056097	0.06740901960111546		Not significant
131	37.127648492666964	0.0034099140287630223		Up
132	-2.18006856315859	0.010681705101649919		Down
133	37.56203543064782	0.373900966300059		Not significant
134	-4.131617841785522	0.0846877013877195		Not significant
135	-2.229636759031799	0.015101972837008452		Down
136	-39.04508090487006	0.14623534363251867		Not significant
137	-41.54467266722663	0.11373301597043926		Not significant
138	0.0			Not significant
139	0.0			Not significant
140	0.0			Not significant
141	-3.7472810493743367	0.0006388680216109505		Down
142	36.80307470191841	0.004274498540018112		Up
143	-36.5258209958795	0.20096052139476575		Not significant
144	36.38047968065549	0.11904717733730195		Not significant
145	34.886617069722156	0.36708970254457485		Not significant
146	-39.0574071041028	0.14505388264783983		Not significant
147	-40.21989384947025	0.1583442841593954		Not significant
148	36.30934395430048	0.373900966300059		Not significant
149	37.02049066071367	0.373900966300059		Not significant
150	-37.75587051752248	0.26224890528974665		Not significant
151	2.334990110846612	0.22742816435721352		Not significant
152	0.779703357526132	0.5939170075465865		Not significant
153	-37.29435323992792	0.06526424060204772		Not significant
154	-43.98101729868381	0.0005727781992720765		Down
155	-44.86541179705921	0.00040779387729555433		Down
156	36.051874969292875	0.373900966300059		Not significant
157	37.50468883986647	0.373900966300059		Not significant
158	36.294551600732255	0.373900966300059		Not significant
159	-37.60031115834469	0.16422153088974556		Not significant
160	37.18453524008901	0.194755621812241		Not significant
161	0.0			Not significant
162	0.0			Not significant
163	-2.615161070532888	0.00644087100595086		Down
164	0.0			Not significant
165	-2.8216114308398126	0.0357841628828403		Down
166	36.11345780312333	0.373900966300059		Not significant
167	-37.442467372478944	0.029819681858355037		Down
168	0.0			Not significant
169	0.0			Not significant
170	0.0			Not significant
171	-37.980437539547296	0.20704508450701867		Not significant
172	38.07811553474328	0.373900966300059		Not significant
173	38.61021593972397	0.23232758186482647		Not significant
174	0.0			Not significant
175	35.986942879380756	0.373900966300059		Not significant
176	0.0			Not significant
177	-39.18636802072114	0.1389740260382288		Not significant
178	2.3902898159873454	0.2923979684803971		Not significant
179	0.0			Not significant
180	-37.55715372589179	0.10349304614542074		Not significant
181	-36.29552666979168	0.373900966300059		Not significant
182	34.58722903310562	0.373900966300059		Not significant
183	38.94782162896819	0.373900966300059		Not significant
184	0.0			Not significant
185	-37.95897929700433	0.06873096813137099		Not significant
186	39.91608062602851	0.3739009663000589		Not significant
187	-38.84416379016222	0.12785694292646774		Not significant
188	-1.5579731871442504	0.5656817838637904		Not significant
189	37.587670977362876	0.2967596057707302		Not significant
190	0.0			Not significant
191	0.0			Not significant
192	0.0			Not significant
193	0.0			Not significant
194	0.0			Not significant
195	-29.87010513553951	0.373900966300059		Not significant
196	-38.27974826943549	0.24861532408441966		Not significant
197	-37.419628181898496	0.011901643282110762		Down
198	-38.43531524907398	0.07864602048077807		Not significant
199	-38.02237523840221	0.12776011304696772		Not significant
200	-35.90487491611706	0.31308303710935337		Not significant
201	35.69439212533132	0.373900966300059		Not significant
202	0.0			Not significant
203	-43.55252470969855	0.016073486751244304		Down
204	-37.803006543224654	0.11699803481285914		Not significant
205	-39.981269284935756	0.11752734203005645		Not significant
206	-35.86835131241505	0.32904576044415373		Not significant
207	-33.30757529728518	0.373900966300059		Not significant
208	38.02353693366999	0.3739009663000589		Not significant
209	1.1227063606705523	0.6132157480358829		Not significant
210	-32.89217149930778	0.373900966300059		Not significant
211	-34.95455076489008	0.21651866871043274		Not significant
212	-31.711361188436978	0.373900966300059		Not significant
213	-38.1184471246688	0.13392021624975534		Not significant
214	-38.856019015082275	0.15952834112219094		Not significant
215	-36.02597691264806	0.17260605970530404		Not significant
216	0.0			Not significant
217	0.0			Not significant
218	35.133785645880316	0.373900966300059		Not significant
219	35.286123417077334	0.373900966300059		Not significant
220	38.697617742100185	0.3739009663000589		Not significant
221	-5.82993569394523	0.005743557320984802		Down
222	-29.966689853500373	0.373900966300059		Not significant
223	0.0			Not significant
224	37.427057917062534	0.3739009663000589		Not significant
225	-3.146949035894313	0.00711252190173411		Down
226	36.269895596434345	0.373900966300059		Not significant
227	-35.41899579536924	0.373900966300059		Not significant
228	0.0			Not significant
229	-2.718987237849051	0.03585442838244469		Down
230	35.61991456315307	0.22533338261074848		Not significant
231	-3.146108065257494	0.006756384741390666		Down
232	-39.09792620243048	0.14185960188416638		Not significant
233	-37.17968927615677	0.13610438276787912		Not significant
234	38.636004739197446	0.3739009663000589		Not significant
235	37.935190971442324	0.373900966300059		Not significant
236	-36.596945902583265	0.3348768986574984		Not significant
237	0.0			Not significant
238	0.0			Not significant
239	0.0			Not significant
240	0.0			Not significant
241	0.0			Not significant
242	-3.5305799622547744	0.005191479354723956		Down
243	-3.5313979625109817	0.010529240746347684		Down
244	-41.13703736429056	0.1256119798930422		Not significant
245	36.480919022038975	0.373900966300059		Not significant
246	35.328050132913816	0.13935817079012425		Not significant
247	-4.016891343575323	0.01670926247518615		Down
248	-40.18899484369596	0.03480200200217157		Down
249	-39.66670247932575	0.14872454771199264		Not significant
250	-41.29457015106731	0.05979004909800778		Not significant
251	36.82620814346707	0.2434780586641813		Not significant
252	36.44936906274257	0.3739009663000589		Not significant
253	-5.254552843832883	0.0029279365374110904		Down
254	37.31232844567569	0.3739009663000589		Not significant
255	37.81427489759185	0.3739009663000589		Not significant
256	-36.02157220371637	0.373900966300059		Not significant
257	0.0			Not significant
258	0.0			Not significant
259	0.0			Not significant
260	-3.7895925817478693	0.0031723670791322443		Down
261	-3.9618837032505896	0.004334172038858785		Down
262	-3.982588465266581	0.0026032884755214517		Down
263	-33.31596935446799	0.3739009663000589		Not significant
264	39.37339524256651	0.17397759903815424		Not significant
265	-5.207792832002838	0.11364099811032022		Not significant
266	35.84920715105162	0.373900966300059		Not significant
267	-3.8463916133138323	0.266474804931307		Not significant
268	36.390288099988354	0.3739009663000589		Not significant
269	36.9295077641461	0.2428331729863849		Not significant
270	0.0			Not significant
271	0.0			Not significant
272	0.0			Not significant
273	0.0			Not significant
274	0.0			Not significant
275	36.71113737944081	0.3739009663000589		Not significant
276	-38.345525245904945	0.08288320864810528		Not significant
277	5.2310011456239645	0.025220127615102676		Up
278	0.0			Not significant
279	0.0			Not significant
280	-40.036168239963715	0.09074231055511106		Not significant
281	36.7924043917436	0.1082295800474551		Not significant
282	-38.80118928641106	0.002225566748127235		Down
283	35.55441445540821	0.025632175983109667		Up
284	-43.13459158402222	0.017714741776581947		Down
285	-4.2330916995297265	0.009213527551368257		Down
286	-40.774651151060276	0.023965274184393003		Down
287	5.2243465126274184	0.2968376250183503		Not significant
288	-6.33649663461773	0.009462994394211282		Down
289	-37.53866657949555	0.047902404686333		Down
290	35.41841987560307	0.029943232020401087		Up
291	-1.9729654271957424	0.2864654259725789		Not significant
292	37.71874355423908	0.373900966300059		Not significant
293	0.0			Not significant
294	0.0			Not significant
295	-3.9279841355711596	0.4039624451853262		Not significant
296	-39.36282510303903	0.07678379263653824		Not significant
297	0.4653035294431663	0.753206885143566		Not significant
298	0.0			Not significant
299	0.4671914879439718	0.7299581760540146		Not significant
300	0.0			Not significant
301	-4.363788727373934	0.0008815607876174247		Down
302	-38.97680730801154	0.10058884510903983		Not significant
303	-4.739556885338003	0.0007064876544560909		Down
304	-3.749729928576968	0.000918061233731621		Down
305	1.8294557589843097	0.24356803478419953		Not significant
306	1.0747859170821346	0.20512611329113983		Not significant
307	-41.93565644862907	0.10215700219928102		Not significant
308	-0.9063089197072287	0.6731526930072561		Not significant
309	1.0382118432977183	0.5323811113181566		Not significant
310	37.33722029825097	0.3739009663000589		Not significant
311	1.4279824428847496	0.4281323166870357		Not significant
312	-38.032452708201276	0.024779106745266205		Down
313	-7.458661212655841	0.018956836009586822		Down
314	37.79810331006328	0.20063663339975382		Not significant
315	3.416929843725902	0.12411529895379739		Not significant
316	38.415473691074006	0.12346733801417842		Not significant
317	-4.474579065117528	0.1253374714350591		Not significant
318	0.0			Not significant
319	37.526183887607765	0.373900966300059		Not significant
320	-37.99682977492829	0.11669444625277822		Not significant
321	2.1964713392000683	0.06074624284092553		Not significant
322	-39.69147637889881	0.14230028667361563		Not significant
323	3.768200685859179	0.05443411197531787		Not significant
324	37.6152292826392	0.1363362947047214		Not significant
325	-39.07064588666673	0.2516511746406501		Not significant
326	2.638742108683947	0.03864345497653366		Up
327	-5.889245766052685	0.003441614838436278		Down
328	0.0			Not significant
329	-40.14715976113065	0.126820061915739		Not significant
330	38.638554334230896	0.21457345899783362		Not significant
331	39.792542492710034	0.09069580562516587		Not significant
332	42.54756851031901	0.00885372675209055		Up
333	41.054767985187375	0.023776942302605495		Up
334	38.78792216769909	0.027160659998216936		Up
335	37.60459875192871	0.008822308164388512		Up
336	5.576612390462826	0.040749462471507056		Up
337	-3.570947638958683	0.0014274955059182435		Down
338	1.4183339391203211	0.15326947171230956		Not significant
339	-4.557001343287454	0.0005560376349373716		Down
340	-3.7653425293085836	0.00044672419570963135		Down
341	37.770794505618625	0.019399451780766134		Up
342	35.53689309123125	0.12835879057078586		Not significant
343	-39.40023212844783	0.09896398849057925		Not significant
344	-37.92663455867179	0.013553459351508547		Down
345	37.104122066073934	0.373900966300059		Not significant
346	-38.39060832060932	0.07790302623578642		Not significant
347	-38.58127862899442	0.009572401414036728		Down
348	-41.49390235883715	0.010798629559442123		Down
349	38.53562707570637	0.13892013767635103		Not significant
350	0.0			Not significant
351	0.0			Not significant
352	-6.597485776813272	0.00265009395066678		Down
353	-39.85324879131215	0.005213163690067108		Down
354	38.78002687613256	0.3739009663000589		Not significant
355	39.70302284321673	0.05342604264571411		Not significant
356	42.76729868549719	0.004939035222710681		Up
357	41.40899497924612	0.022254347479283405		Up
358	-40.981053030461254	0.033682817464473866		Down
359	35.134827981742895	0.373900966300059		Not significant
360	2.4096410439043314	0.08405944805224205		Not significant
361	-36.96654791004463	0.1733988728342052		Not significant
362	-4.201337048064964	0.010338987521700906		Down
363	-3.546926846921667	0.013792103728618577		Down
364	-40.40469231948221	0.052553005914703375		Not significant
365	0.0			Not significant
366	-5.523679098747499	0.004862097186004848		Down
367	0.0			Not significant
368	39.269623269200395	0.17139365270695478		Not significant
369	-41.143600232982315	0.13273489710172473		Not significant
370	0.0			Not significant
371	-8.442186730802149	0.001024054242141574		Down
372	-6.459879945029332	0.003781762260708799		Down
373	34.61348062702044	0.27630030297934494		Not significant
374	40.11486030260334	0.07970587391693981		Not significant
375	42.842946262237184	0.007128252303036568		Up
376	41.607190997079975	0.016642546852961387		Up
377	-4.298634397661834	0.005059251737747888		Down
378	39.936379172872854	0.373900966300059		Not significant
379	0.0			Not significant
380	4.066080946763486	0.05186990400179311		Not significant
381	39.469428775357464	0.1467063830235655		Not significant
382	0.0			Not significant
383	0.0			Not significant
384	-37.27236315110568	0.0023100050213417083		Down
385	-43.16710614320151	0.022474232874187757		Down
386	-39.90454017777903	0.004058612056833093		Down
387	-7.914238440410601	0.0015459048055932408		Down
388	40.51389946174027	0.07937525916401075		Not significant
389	43.10991808929194	0.012461335216387318		Up
390	41.92492495837856	0.014690893660993957		Up
391	-41.509533884172896	0.1819999957484197		Not significant
392	-37.95991383744885	0.11720527536713667		Not significant
393	-3.9591739061033	0.02531432343382229		Down
394	-3.8196080082241024	0.01261761227856335		Down
395	-42.32289549129428	0.11506456564365966		Not significant
396	39.68718871598817	0.14764712460742926		Not significant
397	0.0			Not significant
398	0.0			Not significant
399	40.58382180728047	0.09372199877904239		Not significant
400	43.1295496543311	0.013678766977573236		Up
401	42.01048870248458	0.010279280582213965		Up
402	-40.01119479865302	0.0032553878510969653		Down
403	-7.184683293621767	0.009678525851950729		Down
404	-41.63839586938751	0.027264944032506292		Down
405	-4.567144502837225	0.026560327901878376		Down
406	39.94766129578828	0.172196580798087		Not significant
407	0.0			Not significant
408	0.0			Not significant
409	39.82980307926257	0.10157941249837961		Not significant
410	41.954678597638946	0.0063654157615049434		Up
411	38.36611746034654	0.006869776876011255		Up
412	42.96800612740522	0.008530666156330679		Up
413	-39.92182509626385	0.0005145628835623652		Down
414	-7.358488437949007	0.037710871032054276		Down
415	-7.221519941163549	0.0016407523354749502		Down
416	37.778617899611056	0.373900966300059		Not significant
417	-42.6365934479135	0.141308525444428		Not significant
418	-4.5941579359512374	0.0030277961745995736		Down
419	-5.021079440474064	0.019010357962813494		Down
420	40.21458874563044	0.14332878475913505		Not significant
421	0.0			Not significant
422	0.0			Not significant
423	-8.290224384369884	0.004102395459603709		Down
424	-39.58945641080141	0.15211014539331819		Not significant
425	-7.3025431020196265	0.0011129728703634786		Down
426	-5.587663119924057	0.02440485883343557		Down
427	40.04956891520381	0.11378289823652225		Not significant
428	35.58814411518126	0.002063758435003079		Up
429	42.79580663281062	0.00948072423120361		Up
430	41.80147073724758	0.0037884987006825306		Up
431	-35.5979422594133	0.009756288039251429		Down
432	-43.08364726436179	0.02118674543245716		Down
433	-5.208251620141399	0.019265976263045742		Down
434	-40.66900839076127	0.13743060157671932		Not significant
435	40.58214339902	0.15021697749304924		Not significant
436	0.0			Not significant
437	0.0			Not significant
438	-39.137326787787345	0.03801932181716961		Down
439	-5.5822521964982865	0.017969898124569415		Down
440	40.038078646446344	0.10881248927856818		Not significant
441	42.67077524081877	0.011863761553173395		Up
442	41.677307851958545	0.006242367935705358		Up
443	-6.3036392627110285	0.028361230498704215		Down
444	-7.578096385549694	0.0033598395269941665		Down
445	-38.932100807126794	0.00043044754238819407		Down
446	-39.01144569756303	0.000327382837891945		Down
447	-39.28174475839738	0.052618732240360185		Not significant
448	-4.2077656567357415	0.04649134592870833		Down
449	40.37454492521509	0.15866681882010802		Not significant
450	0.0			Not significant
451	0.0			Not significant
452	42.46825439291711	0.02645885513672768		Up
453	41.579564244217906	0.012562319343417389		Up
454	39.5304037288791	0.004425256273863085		Up
455	4.68173770726948	0.14261820781570214		Not significant
