ID metabolite	FC	log2(FC)	p.ajusted	logarithme p	regulation
Peak4	38937000	25.215	0.0029737	2.5267	up
Peak1	19973000	24.252	0.0029737	2.5267	up
Peak155	17173000	24.034	0.0029737	2.5267	up
Peak86	11564000	23.463	0.0029737	2.5267	up
Peak154	9322400	23.152	0.0029737	2.5267	up
Peak93	8587200	23.034	0.0029737	2.5267	up
Peak73	8051500	22.941	0.0029737	2.5267	up
Peak203	5585500	22.413	0.0029737	2.5267	up
Peak248	5307400	22.34	0.0029737	2.5267	up
Peak14	4149400	21.984	0.0029737	2.5267	up
Peak94	3937700	21.909	0.0029737	2.5267	up
Peak109	3370300	21.684	0.0029794	2.5259	up
Peak385	3206800	21.613	0.0029737	2.5267	up
Peak284	3109700	21.568	0.0029737	2.5267	up
Peak432	3020300	21.526	0.0029737	2.5267	up
Peak137	2845500	21.44	0.0029737	2.5267	up
Peak15	2666700	21.347	0.0032744	2.4849	up
Peak47	2602700	21.312	0.0033291	2.4777	up
Peak17	2255200	21.105	0.0039754	2.4006	up
Peak159	2099800	21.002	0.0032072	2.4939	up
Peak171	2094600	20.998	0.0029794	2.5259	up
Peak25	2045600	20.964	0.0029912	2.5242	up
Peak21	2020700	20.946	0.0032977	2.4818	up
Peak278	1576000	20.588	0.0030806	2.5114	up
Peak32	1548100	20.562	0.0029912	2.5242	up
Peak46	1508900	20.525	0.0032744	2.4849	up
Peak48	1469100	20.487	0.003581	2.446	up
Peak18	1329100	20.342	0.0033291	2.4777	up
Peak720	1190900	20.184	0.0031332	2.504	up
Peak29	1114500	20.088	0.0033291	2.4777	up
Peak404	984450	19.909	0.0032744	2.4849	up
Peak6	923090	19.816	0.0033291	2.4777	up
Peak84	915450	19.804	0.0033291	2.4777	up
Peak89	886570	19.758	0.0033291	2.4777	up
Peak233	827840	19.659	0.0035438	2.4505	up
Peak110	818440	19.643	0.0055544	2.2554	up
Peak16	782520	19.578	0.0036836	2.4337	up
Peak69	774570	19.563	0.0033291	2.4777	up
Peak35	761840	19.539	0.0033291	2.4777	up
Peak721	749170	19.515	0.0033291	2.4777	up
Peak55	728230	19.474	0.0033291	2.4777	up
Peak139	674120	19.363	0.0033291	2.4777	up
Peak729	662110	19.337	0.0033291	2.4777	up
Peak358	635870	19.278	0.0033291	2.4777	up
