ID metabolite	FC	log2(FC)	p.ajusted	log p	regulation
Peak3	166360000	27.31	7.93E-06	5.1008	up
Peak155	101650000	26.599	9.45E-06	5.0245	up
Peak73	57256000	25.771	1.58E-05	4.8024	up
Peak154	55273000	25.72	1.11E-05	4.9559	up
Peak203	42821000	25.352	2.52E-05	4.5981	up
Peak532	39358000	25.23	0.00075857	3.12	up
Peak538	38290000	25.19	0.00036491	3.4378	up
Peak385	32828000	24.968	2.63E-05	4.5792	up
Peak284	32205000	24.941	2.86E-05	4.5434	up
Peak432	31033000	24.887	2.75E-05	4.5606	up
Peak503	25351000	24.596	0.0014991	2.8242	up
Peak417	21712000	24.372	0.00078656	3.1043	up
Peak25	20691000	24.302	1.79E-05	4.7472	up
Peak32	19268000	24.2	1.26E-05	4.9011	up
Peak21	18047000	24.105	1.38E-05	4.86	up
Peak395	16444000	23.971	0.0020566	2.6869	up
Peak52	13555000	23.692	7.39E-05	4.1315	up
Peak483	13004000	23.632	0.00087559	3.0577	up
Peak35	12995000	23.631	2.08E-05	4.6812	up
Peak307	12853000	23.616	0.00028389	3.5469	up
Peak6	12519000	23.578	7.73E-06	5.1118	up
Peak404	11563000	23.463	4.65E-05	4.3325	up
Peak18	11452000	23.449	2.10E-05	4.6782	up
Peak16	10708000	23.352	4.34E-05	4.3622	up
Peak391	10347000	23.303	0.00075857	3.12	up
Peak348	10247000	23.289	2.96E-05	4.5286	up
Peak13	10127000	23.272	4.33E-05	4.3635	up
Peak137	9811100	23.226	0.0006429	3.1919	up
Peak69	9439600	23.17	3.82E-05	4.4178	up
Peak94	9347400	23.156	1.54E-05	4.813	up
Peak55	9058500	23.111	2.20E-05	4.6577	up
Peak29	8354000	22.994	2.61E-05	4.5828	up
Peak250	8229100	22.972	5.75E-05	4.2406	up
Peak539	7890700	22.912	0.00048013	3.3186	up
Peak369	7596700	22.857	0.0016429	2.7844	up
Peak358	7377200	22.815	6.21E-05	4.207	up
Peak44	7148900	22.769	2.05E-05	4.6879	up
Peak83	6827100	22.703	0.00032613	3.4866	up
Peak109	6633600	22.661	2.59E-05	4.5874	up
Peak286	6024600	22.522	2.52E-05	4.5981	up
Peak364	4602100	22.134	4.33E-05	4.3635	up
Peak147	4128700	21.977	0.0017084	2.7674	up
Peak248	4100000	21.967	4.16E-05	4.3812	up
Peak47	3690900	21.816	4.74E-05	4.3238	up
Peak402	3558300	21.763	2.07E-05	4.684	up
Peak50	3535500	21.753	0.00032391	3.4896	up
Peak280	3484800	21.733	0.00017758	3.7506	up
Peak563	3394800	21.695	0.00041562	3.3813	up
Peak205	3340400	21.672	0.00089444	3.0484	up
Peak413	3323200	21.664	1.79E-05	4.7472	up
Peak386	3302200	21.655	2.08E-05	4.6812	up
Peak353	3224200	21.621	2.43E-05	4.6138	up
Peak51	2947600	21.491	1.95E-05	4.7103	up
Peak61	2892100	21.464	4.54E-05	4.3428	up
Peak249	2801900	21.418	0.00093677	3.0284	up
Peak38	2778000	21.406	0.00033771	3.4715	up
Peak41	2530300	21.271	2.08E-05	4.6812	up
Peak46	2388400	21.188	3.79E-05	4.4216	up
Peak447	2248100	21.1	5.42E-05	4.266	up
Peak296	2233000	21.091	8.86E-05	4.0524	up
Peak343	2219400	21.082	0.00034473	3.4625	up
Peak456	2201800	21.07	8.14E-05	4.0893	up
Peak506	2062300	20.976	5.93E-05	4.2267	up
Peak438	2027900	20.952	5.04E-05	4.2973	up
Peak589	2026900	20.951	4.31E-05	4.3654	up
Peak118	1986400	20.922	3.75E-05	4.4257	up
Peak65	1964700	20.906	0.00040754	3.3898	up
Peak66	1947300	20.893	1.57E-05	4.8029	up
Peak550	1916900	20.87	0.00042744	3.3691	up
Peak232	1856600	20.824	0.0048388	2.3153	up
Peak146	1825800	20.8	0.0012899	2.8894	up
Peak446	1698100	20.696	1.11E-05	4.9559	up
Peak302	1648800	20.653	0.00042778	3.3688	up
Peak445	1628000	20.635	1.33E-05	4.8749	up
Peak104	1612000	20.62	7.68E-05	4.1147	up
Peak547	1595800	20.606	0.00020113	3.6965	up
Peak282	1538400	20.553	2.23E-05	4.6523	up
Peak187	1534300	20.549	0.0020437	2.6896	up
Peak582	1498300	20.515	0.00024977	3.6025	up
Peak548	1456200	20.474	0.00033995	3.4686	up
Peak347	1354400	20.369	3.79E-05	4.4216	up
Peak48	1264500	20.27	0.0007344	3.1341	up
Peak552	1258600	20.263	0.00013765	3.8612	up
Peak346	1257600	20.262	0.00042252	3.3742	up
Peak587	1242800	20.245	0.00013053	3.8843	up
Peak487	1193600	20.187	0.00012228	3.9127	up
Peak198	1149600	20.133	0.00014722	3.832	up
Peak588	1126100	20.103	0.00090295	3.0443	up
Peak276	1121100	20.096	9.44E-05	4.0248	up
Peak604	1067100	20.025	8.35E-05	4.0784	up
Peak476	1030600	19.975	0.0001252	3.9024	up
Peak531	937340	19.838	7.07E-05	4.1504	up
Peak185	925990	19.821	0.00017683	3.7525	up
Peak562	912140	19.799	6.48E-05	4.1886	up
Peak123	893490	19.769	2.22E-05	4.6538	up
Peak312	892600	19.768	3.47E-05	4.4597	up
Peak622	870550	19.732	0.00044887	3.3479	up
Peak344	854460	19.705	3.72E-05	4.4295	up
Peak502	819670	19.645	1.73E-05	4.7614	up
Peak474	699060	19.415	2.32E-05	4.6348	up
Peak289	679760	19.375	9.77E-05	4.0101	up
Peak488	659700	19.331	8.93E-05	4.049	up
Peak180	602390	19.2	0.00090643	3.0427	up
Peak153	579230	19.144	0.00028389	3.5469	up
Peak167	576510	19.137	4.30E-05	4.367	up
Peak458	576460	19.137	8.93E-05	4.049	up
Peak197	554310	19.08	2.21E-05	4.6564	up
Peak116	550040	19.069	5.77E-05	4.2388	up
Peak556	534720	19.028	0.00047486	3.3234	up
Peak529	527070	19.008	5.58E-05	4.2535	up
Peak384	526610	19.006	2.32E-05	4.6348	up
Peak14	330190	18.333	9.20E-05	4.0363	up
Peak82	327020	18.319	3.11E-05	4.5074	up
Peak431	166290	17.343	3.81E-05	4.4193	up
Peak418	8.6771	3.1172	0.023912	1.6214	up
Peak339	8.4159	3.0731	0.0052322	2.2813	up
Peak301	7.5073	2.9083	0.0079829	2.0978	up
Peak377	7.3014	2.8682	0.024228	1.6157	up
Peak362	6.7925	2.764	0.033463	1.4754	up
Peak262	5.6911	2.5087	0.016214	1.7901	up
Peak134	5.6496	2.4981	0.0085193	2.0696	up
Peak261	5.5949	2.4841	0.01701	1.7693	up
Peak304	5.038	2.3329	0.031062	1.5078	up
Peak340	4.9722	2.3139	0.032772	1.4845	up
Peak31	3.675	1.8778	0.019007	1.7211	up
Peak78	3.582	1.8408	0.015853	1.7999	up
Peak306	0.17515	-2.5133	0.028233	1.5492	down
Peak338	0.13208	-2.9206	0.015002	1.8238	down
Peak122	0.11319	-3.1432	0.038537	1.4141	down
Peak305	0.1073	-3.2203	0.045544	1.3416	down
Peak37	0.088967	-3.4906	0.029343	1.5325	down
Peak360	0.068648	-3.8646	0.0027367	2.5628	down
Peak481	0.042208	-4.5664	0.016188	1.7908	down
Peak19	0.035471	-4.8172	0.00080852	3.0923	down
Peak687	1.15E-06	-19.729	8.86E-05	4.0524	down
Peak640	1.08E-06	-19.822	0.0010942	2.9609	down
Peak661	8.52E-07	-20.163	0.0002963	3.5283	down
Peak657	8.33E-07	-20.196	0.00016167	3.7914	down
Peak246	8.30E-07	-20.2	4.30E-05	4.367	down
Peak678	7.67E-07	-20.314	0.00023744	3.6245	down
Peak342	7.44E-07	-20.358	4.32E-05	4.3645	down
Peak290	7.26E-07	-20.394	1.58E-05	4.8024	down
Peak283	6.89E-07	-20.468	8.28E-06	5.082	down
Peak698	6.52E-07	-20.548	0.00090295	3.0443	down
Peak668	5.94E-07	-20.683	0.00036952	3.4324	down
Peak844	5.93E-07	-20.685	2.66E-05	4.5748	down
Peak670	5.63E-07	-20.761	9.18E-05	4.0371	down
Peak428	5.60E-07	-20.768	2.61E-05	4.5828	down
Peak733	5.51E-07	-20.79	8.21E-05	4.0854	down
Peak778	5.32E-07	-20.843	0.00023636	3.6264	down
Peak663	5.26E-07	-20.859	4.41E-05	4.3551	down
Peak697	5.15E-07	-20.888	0.00035016	3.4557	down
Peak630	4.85E-07	-20.975	0.0002611	3.5832	down
Peak648	4.12E-07	-21.21	4.73E-05	4.3252	down
Peak709	3.97E-07	-21.265	0.0001357	3.8674	down
Peak130	3.91E-07	-21.288	2.05E-05	4.6879	down
Peak632	3.83E-07	-21.317	0.0021915	2.6593	down
Peak701	3.74E-07	-21.349	0.0012333	2.9089	down
Peak669	3.37E-07	-21.502	0.00036782	3.4344	down
Peak667	3.26E-07	-21.549	4.36E-05	4.3604	down
Peak829	3.26E-07	-21.55	6.81E-06	5.1667	down
Peak251	3.20E-07	-21.577	0.00061027	3.2145	down
Peak658	3.17E-07	-21.591	4.65E-05	4.3326	down
Peak281	3.10E-07	-21.62	2.84E-05	4.5467	down
Peak664	3.02E-07	-21.66	4.65E-05	4.3326	down
Peak656	2.88E-07	-21.727	4.39E-05	4.3574	down
Peak596	2.86E-07	-21.738	8.19E-06	5.0868	down
Peak43	2.83E-07	-21.75	4.16E-05	4.3812	down
Peak920	2.80E-07	-21.768	0.0051233	2.2905	down
Peak142	2.74E-07	-21.797	7.19E-06	5.1432	down
Peak819	2.62E-07	-21.862	2.52E-05	4.5981	down
Peak734	2.45E-07	-21.959	7.01E-05	4.1541	down
Peak719	2.38E-07	-22.001	8.16E-05	4.0885	down
Peak925	2.36E-07	-22.016	0.00054971	3.2599	down
Peak775	2.35E-07	-22.021	0.00079558	3.0993	down
Peak746	2.33E-07	-22.03	9.44E-05	4.0248	down
Peak922	2.30E-07	-22.05	0.0003459	3.461	down
Peak131	2.24E-07	-22.09	6.81E-06	5.1667	down
Peak691	2.07E-07	-22.205	4.61E-05	4.3367	down
Peak788	2.02E-07	-22.236	0.00065245	3.1855	down
Peak822	1.95E-07	-22.289	6.81E-06	5.1667	down
Peak818	1.84E-07	-22.378	1.64E-05	4.7848	down
